SYSTEM.COMPILER segment/procedure map -- Apple Pascal 1.1
source image : Apple II Pascal 1.1 APPLE2_ 680-0005-01.dsk
file blocks  : 6..80 (75 blocks, 38400 bytes)
copyright    : (C)Apple Computer Inc. 1979,1980 (C)U.C.Regents 1979

Derived directly from the binary by tools/a2pascal/codefile.py.
VERIFIED BINARY FACT unless marked otherwise.

--- segment  1  PASCALCO  dictslot=1  block=1   len=4486   mtype=pcode-lsb ver=2 nproc=29
      #   JTAB  enter   exit  param   data  lex  size  ok  kind
      1 0x01FA 0x0000 0x01EE      0     20    3   494  y  pcode

--- segment 14  BODY1     dictslot=9  block=59  len=326    mtype=pcode-lsb ver=2 nproc=1
      #   JTAB  enter   exit  param   data  lex  size  ok  kind
      1 0x0140 0x0000 0x012C      0      4    3   300  y  pcode

--- segment 15  BODY3     dictslot=10 block=60  len=858    mtype=pcode-lsb ver=2 nproc=2
      #   JTAB  enter   exit  param   data  lex  size  ok  kind
      1 0x0352 0x01C2 0x0341      0      4    3   383  y  pcode
      2 0x01C0 0x0000 0x01A8      0      2    4   424  y  pcode

--- segment 16  WRITELIN  dictslot=11 block=62  len=818    mtype=pcode-lsb ver=2 nproc=4
      #   JTAB  enter   exit  param   data  lex  size  ok  kind
      1 0x0326 0x02C8 0x0319      0     14    1    81  y  pcode
      2 0x00F4 0x0036 0x00E4      2     16    2   174  y  pcode
      3 0x0034 0x0000 0x002A      0      0    3    42  y  pcode
      4 0x02C6 0x00F6 0x02B3      2      2    2   445  y  pcode

--- segment 17  UNITPART  dictslot=12 block=64  len=1600   mtype=pcode-lsb ver=2 nproc=4
      #   JTAB  enter   exit  param   data  lex  size  ok  kind
      1 0x0634 0x03A6 0x0624      8     12    1   638  y  pcode
      2 0x0030 0x0000 0x0026      0      0    2    38  y  pcode
      3 0x02FA 0x0032 0x02E6     10     36    2   692  y  pcode
      4 0x03A4 0x02FC 0x039A      0      6    2   158  y  pcode

--- segment 18  COMPOPTI  dictslot=13 block=68  len=1060   mtype=pcode-lsb ver=2 nproc=4
      #   JTAB  enter   exit  param   data  lex  size  ok  kind
      1 0x0418 0x016E 0x0404      6     56    1   662  y  pcode
      2 0x0012 0x0000 0x0008      0      0    2     8  y  pcode
      3 0x00A0 0x0014 0x0093      4      6    2   127  y  pcode
      4 0x016C 0x00A2 0x015E      0      8    2   188  y  pcode

--- segment 19  NUMSTRIN  dictslot=14 block=71  len=864    mtype=pcode-lsb ver=2 nproc=3
      #   JTAB  enter   exit  param   data  lex  size  ok  kind
      1 0x0356 0x0342 0x034B      4      0    1     9  y  pcode
      2 0x009A 0x0000 0x008C      0     90    2   140  y  pcode
      3 0x0340 0x009C 0x031F      0     32    2   643  y  pcode

--- segment 20  FINISHUP  dictslot=15 block=73  len=672    mtype=pcode-lsb ver=2 nproc=1
      #   JTAB  enter   exit  param   data  lex  size  ok  kind
      1 0x029A 0x0000 0x0282      0      4    1   642  y  pcode
