Apple Pascal 1.1 SYSTEM.ASSMBLER -- global data map

Global area: offsets 1..2177 (4354 bytes), from PARAM SIZE
plus DATA SIZE of the outermost block (lex level 0).
Both words count: a UCSD activation record holds the block's
parameters and its locals in one offset space starting at 1, and
DATA SIZE alone is short by the two parameter words (finding 46).
Distinct global offsets touched: 122
Words accounted for by inferred objects: 2158 of 2177
  (the excess is the record at offset 3, whose five words are
   counted again as the four fields addressed individually)

Offsets are WORD offsets into the shared global activation record.
'scalar' = address never taken, only whole-word load/store.
'aggregate' = address taken with LAO, so something bigger; the word
count is exact when MOV/LDM/STM pinned it, otherwise it is an upper
bound set by the next touched offset.

VERIFIED BINARY FACT for the access counts; the object sizes marked
'bounded by next touched offset' are STRONG INFERENCE.

  off kind        words    rd    wr    & users  sizing / evidence
  word    3  scalar-byref rd=120  wr=9    &=11  used by 24 procedures
        ASSEMBLE.10, ASSEMBLE.15, ASSEMBLE.17, ASSEMBLE.21, ASSEMBLE.22, ASSEMBLE.23, ASSEMBLE.24, ASSEMBLE.25, ASSEMBLE.26, ASSEMBLE.27, ASSEMBLE.28, ASSEMBLE.29 ...
  word   73  aggregate  rd=0    wr=0    &=115 used by 18 procedures
        ASSEMBLE.1, INITIALI.1, PRINTERR.1, PROCEND.1, PROCEND.3, PROCEND.7, PROCEND.9, SYMTBLDU.1, SYMTBLDU.3, TLA.1, TLA.10, TLA.11 ...
  word    4  scalar     rd=70   wr=42   &=0   used by 30 procedures
        ASSEMBLE.1, ASSEMBLE.10, ASSEMBLE.11, ASSEMBLE.12, ASSEMBLE.13, ASSEMBLE.15, ASSEMBLE.16, ASSEMBLE.2, ASSEMBLE.23, ASSEMBLE.24, ASSEMBLE.25, ASSEMBLE.28 ...
  word   11  scalar     rd=79   wr=17   &=0   used by 11 procedures
        ASSEMBLE.10, ASSEMBLE.2, ASSEMBLE.4, TLA.16, TLA.17, TLA.28, TLA.32, TLA.33, TLA.34, TLA.35, TLA.36
  word    8  scalar     rd=33   wr=18   &=0   used by 9 procedures
        ASSEMBLE.10, ASSEMBLE.2, ASSEMBLE.4, PROCEND.1, TLA.10, TLA.16, TLA.27, TLA.33, TLA.7
  word    5  scalar     rd=35   wr=7    &=0   used by 5 procedures
        INITIALI.1, PROCEND.1, TLA.10, TLA.12, TLA.13
  word   12  scalar     rd=34   wr=6    &=0   used by 23 procedures
        ASSEMBLE.1, ASSEMBLE.12, ASSEMBLE.13, ASSEMBLE.32, ASSEMBLE.33, ASSEMBLE.8, INITIALI.1, PRINTERR.1, PROCEND.1, PROCEND.7, PROCEND.9, TLA.10 ...
  word    6  scalar     rd=24   wr=13   &=0   used by 10 procedures
        ASSEMBLE.1, ASSEMBLE.23, ASSEMBLE.26, ASSEMBLE.27, ASSEMBLE.3, ASSEMBLE.30, INITIALI.1, TLA.18, TLA.19, TLA.30
  word   27  scalar     rd=32   wr=5    &=0   used by 8 procedures
        ASSEMBLE.33, INITIALI.4, TLA.16, TLA.28, TLA.33, TLA.34, TLA.35, TLA.6
  word   41  scalar     rd=25   wr=9    &=0   used by 7 procedures
        INITIALI.4, TLA.16, TLA.2, TLA.27, TLA.33, TLA.34, TLA.7
  word 1443  aggregate  rd=0    wr=0    &=34  used by 2 procedures
        INITIALI.2, TLA.33
  word 1575  aggregate  rd=0    wr=0    &=34  used by 2 procedures
        INITIALI.2, TLA.33
  word   15  scalar     rd=30   wr=2    &=0   used by 16 procedures
        ASSEMBLE.11, ASSEMBLE.12, ASSEMBLE.13, ASSEMBLE.14, ASSEMBLE.18, ASSEMBLE.19, ASSEMBLE.20, ASSEMBLE.23, ASSEMBLE.24, ASSEMBLE.26, ASSEMBLE.3, ASSEMBLE.30 ...
  word   13  scalar-byref rd=22   wr=4    &=5   used by 5 procedures
        PROCEND.1, TLA.14, TLA.15, TLA.22, TLA.24
  word    9  scalar     rd=23   wr=5    &=0   used by 4 procedures
        PROCEND.1, PROCEND.4, PROCEND.9, TLA.12
  word 2147  aggregate  rd=0    wr=0    &=28  used by 5 procedures
        INITIALI.1, PROCEND.1, TLA.10, TLA.12, TLA.13
  word   71  scalar-byref rd=19   wr=5    &=3   used by 5 procedures
        ASSEMBLE.10, TLA.16, TLA.28, TLA.33, TLA.34
  word  539  aggregate  rd=0    wr=0    &=27  used by 13 procedures
        ASSEMBLE.2, ASSEMBLE.4, ASSEMBLE.8, INITIALI.1, PRINTERR.1, PROCEND.1, SYMTBLDU.1, TLA.10, TLA.16, TLA.20, TLA.27, TLA.33 ...
  word 1608  aggregate  rd=0    wr=0    &=26  used by 5 procedures
        TLA.16, TLA.27, TLA.28, TLA.33, TLA.7
  word    7  scalar-byref rd=15   wr=9    &=1   used by 4 procedures
        ASSEMBLE.10, TLA.16, TLA.33, TLA.34
  word   10  aggregate  rd=1    wr=0    &=24  used by 12 procedures
        ASSEMBLE.19, ASSEMBLE.20, ASSEMBLE.22, ASSEMBLE.23, ASSEMBLE.24, ASSEMBLE.25, ASSEMBLE.26, ASSEMBLE.27, ASSEMBLE.28, ASSEMBLE.29, ASSEMBLE.30, ASSEMBLE.31
  word   22  scalar     rd=15   wr=7    &=0   used by 11 procedures
        ASSEMBLE.14, ASSEMBLE.6, ASSEMBLE.7, ASSEMBLE.8, INITIALI.1, PROCEND.1, TLA.10, TLA.12, TLA.13, TLA.22, TLA.24
  word   32  scalar     rd=12   wr=10   &=0   used by 10 procedures
