Apple Pascal 1.1 SYSTEM.COMPILER -- global data map

Global area: offsets 1..1224 (2448 bytes), from PARAM SIZE
plus DATA SIZE of the outermost block (PASCALCO, lex level 0).
Both words count: a UCSD activation record holds the block's
parameters and its locals in one offset space starting at 1, and
DATA SIZE alone is short by the two parameter words (finding 46).
Distinct global offsets touched: 133
Words accounted for by inferred objects: 1228 of 1224
  (the excess is the record at offset 3, whose five words are
   counted again as the four fields addressed individually)

Offsets are WORD offsets into the shared global activation record.
'scalar' = address never taken, only whole-word load/store.
'aggregate' = address taken with LAO, so something bigger; the word
count is exact when MOV/LDM/STM pinned it, otherwise it is an upper
bound set by the next touched offset.

VERIFIED BINARY FACT for the access counts; the object sizes marked
'bounded by next touched offset' are STRONG INFERENCE.

  off kind        words    rd    wr    & users  sizing / evidence
  word   61  scalar-byref rd=42   wr=0    &=1   used by 22 procedures
        BODYPART.11, BODYPART.28, BODYPART.29, BODYPART.30, BODYPART.31, BODYPART.33, BODYPART.34, BODYPART.35, BODYPART.8, CASESTAT.1, COMPINIT.2, COMPINIT.3 ...
  word   32  scalar     rd=39   wr=3    &=0   used by 24 procedures
        BODY1.1, BODY3.1, BODYPART.22, BODYPART.25, BODYPART.30, BODYPART.5, COMPINIT.9, COMPOPTI.1, DECLARAT.1, DECLARAT.10, DECLARAT.12, DECLARAT.16 ...
  word   77  scalar     rd=33   wr=8    &=0   used by 20 procedures
        BODY1.1, BODY3.1, BODYPART.22, BODYPART.30, BODYPART.6, COMPINIT.1, COMPOPTI.1, DECLARAT.1, DECLARAT.10, DECLARAT.18, DECLARAT.19, DECLARAT.20 ...
  word    2  scalar-byref rd=32   wr=1    &=3   used by 12 procedures
        BODYPART.16, BODYPART.19, BODYPART.21, COMPINIT.9, DECLARAT.1, FINISHUP.1, PASCALCO.20, PASCALCO.21, PASCALCO.22, PASCALCO.3, UNITPART.1, WRITELIN.4
  word    4  scalar     rd=19   wr=17   &=0   used by 9 procedures
        BODYPART.10, BODYPART.11, BODYPART.22, BODYPART.30, BODYPART.35, BODYPART.8, BODYPART.9, ROUTINE.4, STATEMEN.2
  word   81  scalar-byref rd=24   wr=3    &=4   used by 6 procedures
        COMPINIT.1, DECLARAT.19, PASCALCO.24, UNITPART.1, UNITPART.3, UNITPART.4
  word   16  scalar     rd=12   wr=16   &=0   used by 10 procedures
        BODYPART.11, BODYPART.33, BODYPART.34, DECLARAT.16, DECLARAT.17, NUMSTRIN.2, NUMSTRIN.3, PASCALCO.18, PASCALCO.6, ROUTINE.14
  word   17  aggregate  rd=0    wr=0    &=28  used by 16 procedures
        COMPINIT.1, DECLARAT.10, DECLARAT.11, DECLARAT.16, DECLARAT.17, DECLARAT.18, DECLARAT.19, DECLARAT.20, DECLARAT.4, DECLARAT.6, DECLARAT.8, DECLARAT.9 ...
  word   59  scalar-byref rd=27   wr=0    &=1   used by 18 procedures
